kind,id,x_mm,y_mm,z_mm,actual_mm,nominal_mm,deviation_mm,tolerance_mm,status
point,P1,0.000000,0.000000,0.000000,,,0.000000,0.200000,PASS
point,P2,100.060000,0.000000,0.000000,,,0.060000,0.200000,PASS
point,P3,100.000000,50.000000,0.300000,,,0.300000,0.200000,FAIL
point,P4,0.000000,50.000000,0.000000,,,0.000000,0.200000,PASS
point,P5,25.000000,25.000000,0.000000,,,0.000000,0.200000,PASS
point,P6,50.000000,25.000000,0.200000,,,0.200000,0.200000,PASS
point,P7,75.030000,25.040000,0.000000,,,0.050000,0.200000,PASS
point,P8,50.000000,40.000000,-0.250000,,,0.250000,0.200000,FAIL
distance,P1:P2,,,,100.060000,100.000000,0.060000,0.100000,PASS
distance,P1:P4,,,,50.000000,50.000000,0.000000,0.100000,PASS
